Days,Date,0_Cases,1_DailyCases,2_DailyCases- 3-daymovingaverage,3_DailyCases- 7-daymovingaverage,4_CurrentlyInfected,5_Deaths,6_DailyDeaths,7_DailyDeaths- 3-daymovingaverage,8_DailyDeaths- 7-daymovingaverage
0,"Feb 15, 2020",0,0,0,0,0,0,0,0,0
1,"Feb 16, 2020",0,0,0,0,0,0,0,0,0
2,"Feb 17, 2020",0,0,0,0,0,0,0,0,0
3,"Feb 18, 2020",0,0,0,0,0,0,0,0,0
4,"Feb 19, 2020",0,0,0,0,0,0,0,0,0
5,"Feb 20, 2020",0,0,0,0,0,0,0,0,0
6,"Feb 21, 2020",0,0,0,0,0,0,0,0,0
7,"Feb 22, 2020",0,0,0,0,0,0,0,0,0
8,"Feb 23, 2020",0,0,0,0,0,0,0,0,0
9,"Feb 24, 2020",0,0,0,0,0,0,0,0,0
10,"Feb 25, 2020",0,0,0,0,0,0,0,0,0
11,"Feb 26, 2020",0,0,0,0,0,0,0,0,0
12,"Feb 27, 2020",0,0,0,0,0,0,0,0,0
13,"Feb 28, 2020",0,0,0,0,0,0,0,0,0
14,"Feb 29, 2020",0,0,0,0,0,0,0,0,0
15,"Mar 01, 2020",0,0,0,0,0,0,0,0,0
16,"Mar 02, 2020",0,0,0,0,0,0,0,0,0
17,"Mar 03, 2020",0,0,0,0,0,0,0,0,0
18,"Mar 04, 2020",0,0,0,0,0,0,0,0,0
19,"Mar 05, 2020",0,0,0,0,0,0,0,0,0
20,"Mar 06, 2020",0,0,0,0,0,0,0,0,0
21,"Mar 07, 2020",0,0,0,0,0,0,0,0,0
22,"Mar 08, 2020",0,0,0,0,0,0,0,0,0
23,"Mar 09, 2020",0,0,0,0,0,0,0,0,0
24,"Mar 10, 2020",0,0,0,0,0,0,0,0,0
25,"Mar 11, 2020",0,0,0,0,0,0,0,0,0
26,"Mar 12, 2020",0,0,0,0,0,0,0,0,0
27,"Mar 13, 2020",1,0,0,0,1,0,0,0,0
28,"Mar 14, 2020",1,0,0,0,1,0,0,0,0
29,"Mar 15, 2020",1,0,0,0,1,0,0,0,0
30,"Mar 16, 2020",1,0,0,0,1,0,0,0,0
31,"Mar 17, 2020",1,0,0,0,1,0,0,0,0
32,"Mar 18, 2020",1,0,0,0,1,0,0,0,0
33,"Mar 19, 2020",1,0,0,0,1,0,0,0,0
34,"Mar 20, 2020",4,3,1,0,4,0,0,0,0
35,"Mar 21, 2020",5,1,1,1,5,0,0,0,0
36,"Mar 22, 2020",5,0,2,1,5,0,0,0,0
37,"Mar 23, 2020",5,0,0,0,5,0,0,0,0
38,"Mar 24, 2020",7,2,1,1,7,0,0,0,0
39,"Mar 25, 2020",8,1,1,1,8,0,0,0,0
40,"Mar 26, 2020",8,0,1,1,8,0,0,0,0
41,"Mar 27, 2020",8,0,0,1,8,0,0,0,0
42,"Mar 28, 2020",8,0,0,0,8,0,0,0,0
43,"Mar 29, 2020",8,0,0,0,8,0,0,0,0
44,"Mar 30, 2020",8,0,0,1,8,0,0,0,0
45,"Mar 31, 2020",9,1,0,0,9,0,0,0,0
46,"Apr 01, 2020",10,1,1,0,10,0,0,0,0
47,"Apr 02, 2020",10,0,1,1,10,0,0,0,0
48,"Apr 03, 2020",10,0,0,0,9,1,0,0,0
49,"Apr 04, 2020",10,0,0,0,9,1,0,0,0
50,"Apr 05, 2020",10,0,0,1,9,1,0,0,0
51,"Apr 06, 2020",10,0,0,0,9,1,0,0,0
52,"Apr 07, 2020",10,0,0,0,9,1,0,0,0
53,"Apr 08, 2020",10,0,0,0,6,1,0,0,0
54,"Apr 09, 2020",10,0,0,0,5,1,0,0,0
55,"Apr 10, 2020",10,0,0,0,5,1,0,0,0
56,"Apr 11, 2020",10,0,0,0,5,1,0,0,0
57,"Apr 12, 2020",10,0,0,0,5,1,0,0,0
58,"Apr 13, 2020",10,0,0,0,3,1,0,0,0
59,"Apr 14, 2020",10,0,0,0,3,1,0,0,0
60,"Apr 15, 2020",10,0,0,0,3,1,0,0,0
61,"Apr 16, 2020",10,0,0,0,3,1,0,0,0
62,"Apr 17, 2020",10,0,0,0,3,1,0,0,0
63,"Apr 18, 2020",10,0,0,0,3,1,0,0,0
64,"Apr 19, 2020",10,0,0,0,3,1,0,0,0
65,"Apr 20, 2020",10,0,0,0,3,1,0,0,0
66,"Apr 21, 2020",10,0,0,0,3,1,0,0,0
67,"Apr 22, 2020",10,0,0,0,3,1,0,0,0
68,"Apr 23, 2020",10,0,0,0,3,1,0,0,0
69,"Apr 24, 2020",10,0,0,0,2,1,0,0,0
